pool,standalone_auc,k,var_obs,var_theory,sep_obs,sep_theory,auc_obs,auc_theory,abs_err
infinite,0.55,1,1.0046,1.0,0.1617,0.1777,0.5455,0.55,0.0045
infinite,0.55,2,0.49591,0.5,0.3232,0.2513,0.5928,0.5705,0.0223
infinite,0.55,3,0.3309,0.33333,0.3185,0.3078,0.5882,0.5861,0.0021
infinite,0.55,5,0.20394,0.2,0.4147,0.3974,0.6174,0.6106,0.0067
infinite,0.55,10,0.09941,0.1,0.565,0.562,0.6517,0.6545,0.0027
infinite,0.55,20,0.04783,0.05,0.8218,0.7948,0.7211,0.7129,0.0082
infinite,0.55,50,0.0203,0.02,1.2033,1.2566,0.8029,0.8129,0.0099
infinite,0.55,100,0.00968,0.01,1.7891,1.7771,0.8967,0.8956,0.0011
infinite,0.6,1,1.04347,1.0,0.3575,0.3583,0.5991,0.6,0.0009
infinite,0.6,2,0.50415,0.5,0.4871,0.5067,0.6356,0.6399,0.0043
infinite,0.6,3,0.33432,0.33333,0.6356,0.6206,0.6745,0.6696,0.0049
infinite,0.6,5,0.20787,0.2,0.7125,0.8012,0.6948,0.7145,0.0196
infinite,0.6,10,0.10003,0.1,1.1328,1.133,0.7869,0.7885,0.0016
infinite,0.6,20,0.0498,0.05,1.603,1.6023,0.8712,0.8714,0.0002
infinite,0.6,50,0.01993,0.02,2.4988,2.5335,0.9618,0.9634,0.0016
infinite,0.6,100,0.00984,0.01,3.5598,3.5829,0.9947,0.9944,0.0003
infinite,0.646,1,0.95326,1.0,0.5074,0.5297,0.6388,0.646,0.0072
infinite,0.646,2,0.50503,0.5,0.7282,0.7491,0.6967,0.7018,0.0051
infinite,0.646,3,0.32778,0.33333,0.91,0.9174,0.7374,0.7417,0.0043
infinite,0.646,5,0.20006,0.2,1.1252,1.1844,0.7853,0.7988,0.0135
infinite,0.646,10,0.09864,0.1,1.6552,1.675,0.8791,0.8819,0.0028
infinite,0.646,20,0.05055,0.05,2.368,2.3688,0.9545,0.953,0.0014
infinite,0.646,50,0.01994,0.02,3.6993,3.7454,0.9948,0.996,0.0012
infinite,0.646,100,0.01034,0.01,5.2247,5.2968,0.9999,0.9999,0.0
infinite,0.7,1,1.03745,1.0,0.6737,0.7416,0.6807,0.7,0.0193
infinite,0.7,2,0.51467,0.5,1.0193,1.0488,0.7646,0.7708,0.0063
infinite,0.7,3,0.31922,0.33333,1.3115,1.2845,0.8236,0.8181,0.0055
infinite,0.7,5,0.19823,0.2,1.6484,1.6583,0.8781,0.8795,0.0014
infinite,0.7,10,0.10118,0.1,2.3769,2.3452,0.953,0.9514,0.0016
infinite,0.7,20,0.05069,0.05,3.2541,3.3166,0.9904,0.9905,0.0
infinite,0.7,50,0.01967,0.02,5.2716,5.244,0.9999,0.9999,0.0
infinite,0.7,100,0.00986,0.01,7.4792,7.4161,1.0,1.0,0.0
infinite,0.8,1,0.99877,1.0,1.1907,1.1902,0.8017,0.8,0.0017
infinite,0.8,2,0.51062,0.5,1.6553,1.6832,0.8804,0.883,0.0026
infinite,0.8,3,0.31981,0.33333,2.0318,2.0615,0.9244,0.9275,0.0031
infinite,0.8,5,0.20548,0.2,2.6482,2.6614,0.9683,0.9701,0.0018
infinite,0.8,10,0.09981,0.1,3.7721,3.7638,0.9949,0.9961,0.0012
infinite,0.8,20,0.05169,0.05,5.2347,5.3229,0.9999,0.9999,0.0
infinite,0.8,50,0.01986,0.02,8.4691,8.4162,1.0,1.0,0.0
infinite,0.8,100,0.01011,0.01,11.8042,11.9023,1.0,1.0,0.0
infinite,0.9,1,0.98864,1.0,1.7792,1.8124,0.8968,0.9,0.0032
infinite,0.9,2,0.50808,0.5,2.5605,2.5631,0.9654,0.965,0.0003
infinite,0.9,3,0.31629,0.33333,3.2579,3.1391,0.9894,0.9868,0.0027
infinite,0.9,5,0.19498,0.2,4.1554,4.0526,0.9988,0.9979,0.0008
infinite,0.9,10,0.10179,0.1,5.689,5.7313,1.0,1.0,0.0
infinite,0.9,20,0.04893,0.05,8.1965,8.1052,1.0,1.0,0.0
infinite,0.9,50,0.02,0.02,12.7756,12.8155,1.0,1.0,0.0
infinite,0.9,100,0.00988,0.01,18.2417,18.1239,1.0,1.0,0.0
finite_74_68,0.646,1,,,,,0.6433,0.646,0.0027
finite_74_68,0.646,2,,,,,0.6957,0.7018,0.0062
finite_74_68,0.646,3,,,,,0.7407,0.7417,0.0011
finite_74_68,0.646,5,,,,,0.7948,0.7988,0.004
finite_74_68,0.646,10,,,,,0.8676,0.8819,0.0142
finite_74_68,0.646,20,,,,,0.9354,0.953,0.0177
finite_74_68,0.646,50,,,,,0.9831,0.996,0.0129
finite_74_68,0.646,100,,,,,0.9967,0.9999,0.0032
